Diet Type,Day,Meal,Dish Combo,Ingredients (per serving),Healthy Tag,Calories (kcal),Carbs (g),Protein (g),Fats (g)
Non-Veg,132,Evening Snack,Knol Khol Koddelu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,116,15,4,5
Non-Veg,132,Dinner,Paper Dosa + Cauliflower Pepper Saaru,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,349,49,11,12
Non-Veg,132,Day Total,,—,Balanced,1290,188,40,37
Non-Veg,133,Breakfast,Parotta,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,201,32,5,3
Non-Veg,133,Morning Snack,Pumpkin Palya,"Pumpkin 100g, Onion 20g, Green Chili 5g, Mustard Seeds 2g, Curry Leaves 2g, Oil 5ml",Healthy,162,15,6,7
Non-Veg,133,Lunch,Udupi Sambar + Jeera Rice + Raw Banana Koddelu,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,519,85,18,16
Non-Veg,133,Evening Snack,Knol Khol Coconut Curry,"Knol 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,164,16,6,8
Non-Veg,133,Dinner,Set Dosa + Malabar Spinach Kurma,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,313,48,9,8
Non-Veg,133,Day Total,,—,Balanced,1359,196,44,42
Non-Veg,134,Breakfast,Papaya Bowl,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,148,18,5,6
Non-Veg,134,Morning Snack,Bitter Gourd Gojju,"Bitter 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,159,14,7,8
Non-Veg,134,Lunch,Prawn Gassi + Coconut Rice + Raw Banana Saaru (No Onion/Garlic),"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,511,74,18,14
Non-Veg,134,Evening Snack,Ash Gourd Mustard Curry,"Ash 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,124,12,4,5
Non-Veg,134,Dinner,Sajje Rotti + Carrot Mustard Curry,"Wheat Flour 50g, Water 30ml, Oil 5ml, Salt 2g + Carrot 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,353,48,10,12
Non-Veg,134,Day Total,,—,Balanced,1295,166,44,45
Non-Veg,135,Breakfast,Mallige Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,182,36,5,3
Non-Veg,135,Morning Snack,Pomegranate Cup,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,160,18,5,6
Non-Veg,135,Lunch,Kalu Saaru + Malnad Pulav + Bottle Gourd Kootu,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,466,83,16,13
Non-Veg,135,Evening Snack,Carrot Koddelu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,113,15,4,5
Non-Veg,135,Dinner,Adai Dosa + Roasted Soy Nuts,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,350,51,10,9
Non-Veg,135,Day Total,,—,Balanced,1271,203,40,36
Non-Veg,136,Breakfast,Rava Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,177,32,4,3
Non-Veg,136,Morning Snack,Coriander Stems Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,122,15,4,5
Non-Veg,136,Lunch,Chicken Saaru + Jeera Rice + Field Beans Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,501,84,15,12
Non-Veg,136,Evening Snack,Lentil Sprouts Masala,"Lentil 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,124,15,4,5
Non-Veg,136,Dinner,Mallige Idli + Ridge Gourd Masala,"Rice 50g, Urad Dal 20g, Salt 2g + Ridge 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,332,49,11,11
Non-Veg,136,Day Total,,—,Balanced,1256,195,38,36
Non-Veg,137,Breakfast,Plain Dosa Roll,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,164,16,5,6
Non-Veg,137,Morning Snack,Hyacinth Beans Tovve,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,119,13,4,5
Non-Veg,137,Lunch,Kalu Saaru + Jeera Rice (No Onion/Garlic) + Radish Palya (No Onion/Garlic),"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Radish 100g, Onion 20g, Green Chili 5g, Mustard Seeds 2g, Curry Leaves 2g, Oil 5ml",Healthy,502,76,15,13
Non-Veg,137,Evening Snack,Hyacinth Beans Gojju,"Hyacinth 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,126,13,4,5
Non-Veg,137,Dinner,Mixed Millet Dosa + Mushroom Sagu (No Onion/Garlic),"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Mushroom 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,356,47,11,12
Non-Veg,137,Day Total,,—,Balanced,1267,165,39,41
Non-Veg,138,Breakfast,Mandakki Oggarane,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,326,51,9,9
Non-Veg,138,Morning Snack,Carrot Koddelu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,113,15,4,5
Non-Veg,138,Lunch,Mixed Veg Sambar + Tomato Rice + Jackfruit Bulbs (seasonal),"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,519,75,18,13
Non-Veg,138,Evening Snack,Roasted Edamame,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,157,16,5,6
Non-Veg,138,Dinner,Oil Roast Dosa + Horse Gram Masala,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Horse 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,339,45,10,11
Non-Veg,138,Day Total,,—,Balanced,1454,202,46,44
Non-Veg,139,Breakfast,Maddur Vada (baked),"Lentils 40g, Onion 20g, Green Chili 5g, Oil 10ml",Healthy,330,52,9,9
Non-Veg,139,Morning Snack,Cowpeas Masala,"Cowpeas 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,117,15,4,4
Non-Veg,139,Lunch,Coconut Dal + Ghee Rice (No Onion/Garlic) + Lentil Sprouts Pepper Saaru (No Onion/Garlic),"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,511,76,18,14
Non-Veg,139,Evening Snack,Pomegranate Cup,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,160,18,5,6
Non-Veg,139,Dinner,Moode Idli + Lentil Sprouts Kurma (No Onion/Garlic),"Rice 50g, Urad Dal 20g, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,296,54,9,7
Non-Veg,139,Day Total,,—,Balanced,1414,215,45,40
Non-Veg,140,Breakfast,Plain Dosa (No Onion),"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,188,36,5,3
Non-Veg,140,Morning Snack,Horse Gram Masala,"Horse 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,158,13,5,7
Non-Veg,140,Lunch,Kundapura Chicken Curry + Jeera Rice + Fenugreek Leaves Kayi Saaru,"Kundapura 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,498,80,15,12
Non-Veg,140,Evening Snack,Field Beans Pepper Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,113,14,4,5
Non-Veg,140,Dinner,Ragi Dosa + Mushroom Coconut Curry (No Onion/Garlic),"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Mushroom 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,352,47,11,11
Non-Veg,140,Day Total,,—,Balanced,1309,190,40,38
Non-Veg,141,Breakfast,Papaya Bowl,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,148,18,5,6
Non-Veg,141,Morning Snack,Dates Handful,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,150,18,6,6
Non-Veg,141,Lunch,Mysore Rasam + Veg Pulao (No Onion/Garlic) + Spinach Pepper Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,532,73,18,15
Non-Veg,141,Evening Snack,Coriander Stems Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,122,15,4,5
Non-Veg,141,Dinner,Mixed Millet Dosa + Green Peas Palya (No Onion/Garlic),"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Green 100g, Onion 20g, Green Chili 5g, Mustard Seeds 2g, Curry Leaves 2g, Oil 5ml",Healthy,305,50,10,8
Non-Veg,141,Day Total,,—,Balanced,1257,174,43,40
Non-Veg,142,Breakfast,Pesarattu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,323,57,11,10
Non-Veg,142,Morning Snack,Ivy Gourd Coconut Curry,"Ivy 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,156,14,7,9
Non-Veg,142,Lunch,Huruli Saaru + Lemon Rice (No Onion/Garlic) + Ivy Gourd Kootu,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,518,80,15,12
Non-Veg,142,Evening Snack,Anjeer (Dried Fig),"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,159,17,6,5
Non-Veg,142,Dinner,Rava Idli + Roasted Chickpeas,"Rice 50g, Urad Dal 20g, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,346,48,9,9
Non-Veg,142,Day Total,,—,Balanced,1502,216,48,45
Non-Veg,143,Breakfast,Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,369,50,10,9
Non-Veg,143,Morning Snack,Coriander Stems Pepper Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,151,13,7,8
Non-Veg,143,Lunch,Mangalore Saaru + Jeera Rice (No Onion/Garlic) + Lentil Sprouts Kurma (No Onion/Garlic),"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,494,85,16,12
Non-Veg,143,Evening Snack,Ivy Gourd Pepper Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,120,14,4,4
Non-Veg,143,Dinner,Chapati + Avalakki Mixture (roasted),"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Flattened Rice 40g, Onion 20g, Curry Leaves 2g, Green Chili 5g, Oil 5ml",Healthy,366,50,11,8
Non-Veg,143,Day Total,,—,Balanced,1500,212,48,41
Non-Veg,144,Breakfast,Mixed Millet Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,191,35,5,3
Non-Veg,144,Morning Snack,Carrot Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,124,15,4,5
Non-Veg,144,Lunch,Pepper Rasam + Steamed Rice + Okra Gojju,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Okra 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,500,74,18,15
Non-Veg,144,Evening Snack,Bitter Gourd Tovve,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,172,16,6,8
Non-Veg,144,Dinner,Neer Dosa + Kundapura Chicken Curry,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Kundapura 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,324,51,8,8
Non-Veg,144,Day Total,,—,Balanced,1311,191,41,39
Non-Veg,145,Breakfast,Pesarattu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,323,57,11,10
Non-Veg,145,Morning Snack,Capsicum Masala,"Capsicum 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,168,13,7,8
Non-Veg,145,Lunch,Lemon Rasam + Tomato Rice + Ladyfish Curry,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Ladyfish 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,477,80,16,12
Non-Veg,145,Evening Snack,Black-eyed Peas Kayi Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,122,15,4,5
Non-Veg,145,Dinner,Neer Dosa + Horse Gram Tovve (No Onion/Garlic),"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,315,52,9,8
Non-Veg,145,Day Total,,—,Balanced,1405,217,47,43
Non-Veg,146,Breakfast,Moode Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,181,39,5,3
Non-Veg,146,Morning Snack,Mushroom Koddelu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,165,14,6,8
Non-Veg,146,Lunch,Togari Bele Saaru + Steamed Rice (No Onion/Garlic) + Raw Banana Palya,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Raw 100g, Onion 20g, Green Chili 5g, Mustard Seeds 2g, Curry Leaves 2g, Oil 5ml",Healthy,502,83,15,12
Non-Veg,146,Evening Snack,Bitter Gourd Gojju,"Bitter 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,159,14,7,8
Non-Veg,146,Dinner,Neer Dosa + Baked Rotti Chips,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Wheat Flour 50g, Water 30ml, Oil 5ml, Salt 2g",Healthy,356,54,10,8
Non-Veg,146,Day Total,,—,Balanced,1363,204,43,39
Non-Veg,147,Breakfast,Masala Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,199,39,5,3
Non-Veg,147,Morning Snack,Green Peas Kayi Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,160,15,6,8
Non-Veg,147,Lunch,Kalu Saaru + Malnad Pulav (No Onion/Garlic) + Cowpeas Saaru (No Onion/Garlic),"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,499,79,14,11
Non-Veg,147,Evening Snack,Plain Dosa Roll,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,164,16,5,6
Non-Veg,147,Dinner,Mixed Millet Dosa + Drumstick Koddelu,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,312,50,9,8
Non-Veg,147,Day Total,,—,Balanced,1334,199,39,36
Non-Veg,148,Breakfast,Tender Coconut Malai,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,166,17,5,6
Non-Veg,148,Morning Snack,Carrot Coconut Curry,"Carrot 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,127,14,4,6
Non-Veg,148,Lunch,Onion Sambar + Jeera Rice + Potato Kootu,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,477,83,15,13
Non-Veg,148,Evening Snack,Green Peas Huli,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g",Healthy,125,15,4,5
Non-Veg,148,Dinner,Avalakki Dosa + Bitter Gourd Mustard Curry (No Onion/Garlic),"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Bitter 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,325,53,9,8
Non-Veg,148,Day Total,,—,Balanced,1220,182,37,38
Non-Veg,149,Breakfast,Fish Tikka Bites (grilled),"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,154,19,5,6
Non-Veg,149,Morning Snack,Capsicum Masala,"Capsicum 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,168,13,7,8
Non-Veg,149,Lunch,Kalu Saaru + Jeera Rice (No Onion/Garlic) + Chow Chow Tovve,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,499,77,15,12
Non-Veg,149,Evening Snack,Hyacinth Beans Pepper Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,171,16,6,9
Non-Veg,149,Dinner,Neer Dosa + Ivy Gourd Kayi Saaru,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,356,51,11,10
Non-Veg,149,Day Total,,—,Balanced,1348,176,44,45
Non-Veg,150,Breakfast,Chicken Dosa Roll,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,346,51,11,10
Non-Veg,150,Morning Snack,Hyacinth Beans Gojju,"Hyacinth 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,126,13,4,5
Non-Veg,150,Lunch,Onion Sambar + Coconut Rice + Apple,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,527,87,17,13
Non-Veg,150,Evening Snack,Ivy Gourd Tovve,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,161,15,6,8
Non-Veg,150,Dinner,Onion Dosa + Broccoli Koddelu (No Onion/Garlic),"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,313,52,9,8
Non-Veg,150,Day Total,,—,Balanced,1473,218,47,44
Non-Veg,151,Breakfast,Mallige Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,182,36,5,3
Non-Veg,151,Morning Snack,Roasted Edamame,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,157,16,5,6
Non-Veg,151,Lunch,Lemon Rasam + Lemon Rice + Okra Sagu,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Okra 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,473,83,17,12
Non-Veg,151,Evening Snack,Pumpkin Tovve,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,112,13,4,5
Non-Veg,151,Dinner,Benne Dosa + Knol Khol Saaru,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,318,52,9,8
Non-Veg,151,Day Total,,—,Balanced,1242,200,40,34
Non-Veg,152,Breakfast,Anjeer (Dried Fig),"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,159,17,6,5
Non-Veg,152,Morning Snack,Field Beans Sagu,"Field 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,116,13,4,4
Non-Veg,152,Lunch,Mangalore Saaru + Jeera Rice (No Onion/Garlic) + Baked Rotti Chips,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Wheat Flour 50g, Water 30ml, Oil 5ml, Salt 2g",Healthy,536,86,17,13
Non-Veg,152,Evening Snack,Drumstick Koddelu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,121,15,4,5
Non-Veg,152,Dinner,Ragi Dosa + Mushroom Saaru,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,361,48,11,11
Non-Veg,152,Day Total,,—,Balanced,1293,179,42,38
Non-Veg,153,Breakfast,Roasted Peanuts,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,169,16,5,6
Non-Veg,153,Morning Snack,Ridge Gourd Masala,"Ridge 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,150,12,6,9
Non-Veg,153,Lunch,Coconut Dal + Lemon Rice + Cabbage Pepper Saaru (No Onion/Garlic),"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,519,84,16,11
Non-Veg,153,Evening Snack,Mushroom Koddelu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,165,14,6,8
Non-Veg,153,Dinner,Adai Dosa + Radish Kurma (No Onion/Garlic),"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,308,50,9,8
Non-Veg,153,Day Total,,—,Balanced,1311,176,42,42
Non-Veg,154,Breakfast,Ragi Laddu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,160,20,5,6
Non-Veg,154,Morning Snack,Hyacinth Beans Gojju,"Hyacinth 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,126,13,4,5
Non-Veg,154,Lunch,Avarekalu Saaru + Jeera Rice + Ivy Gourd Pepper Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,524,73,15,11
Non-Veg,154,Evening Snack,Beans Kootu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,166,14,6,8
Non-Veg,154,Dinner,Avalakki Dosa + Coriander Stems Pepper Saaru,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,347,52,12,11
Non-Veg,154,Day Total,,—,Balanced,1323,172,42,41
Non-Veg,155,Breakfast,Roasted Edamame,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,157,16,5,6
